Title,Listing URL,Price,Location,Address
"2-комнатная квартира, 70 м², 5/10 этаж",https://krisha.kz/a/show/687045622,52 000 000 〒,Алматы,"Наурызбайский р-н, Кенесары хана 54"
"3-комнатная квартира, 80 м², 9/13 этаж",https://krisha.kz/a/show/682629224,62 000 000 〒,Алматы,"Ауэзовский р-н, мкр №3, Абая 21/1 — Саина"
"2-комнатная квартира, 61 м², 5/5 этаж",https://krisha.kz/a/show/687978228,26 500 000 〒,Алматы,"Жетысуский р-н, Ратушного Юрия (Розовая) улица"
"1-комнатная квартира, 33 м², 4/5 этаж",https://krisha.kz/a/show/687665629,18 300 000 〒,Алматы,"Жетысуский р-н, мкр Айнабулак-2"
"3-комнатная квартира, 62 м², 4/5 этаж",https://krisha.kz/a/show/686788108,46 000 000 〒,Алматы,"Бостандыкский р-н, мкр Алмагуль, ул. Си Синхая 18 — Жарокова-Байкадамова"
"3-комнатная квартира, 90 м², 10/10 этаж",https://krisha.kz/a/show/686066962,65 000 000 〒,Алматы,"Ауэзовский р-н, Толе би 285 — Отеген батыра"
"2-комнатная квартира, 68.5 м², 7/10 этаж",https://krisha.kz/a/show/685688842,29 500 000 〒,Алматы,"Наурызбайский р-н, улица Алтын Орда 6/38"
"2-комнатная квартира, 58 м², 13/13 этаж",https://krisha.kz/a/show/681359545,43 000 000 〒,Алматы,"Бостандыкский р-н, Журавлева 26"
"3-комнатная квартира, 74 м², 5/5 этаж",https://krisha.kz/a/show/676461147,31 500 000 〒,Алматы,"Турксибский р-н, мкр Жулдыз-1"
"1-комнатная квартира, 32.8 м², 5/5 этаж",https://krisha.kz/a/show/676291678,36 000 000 〒,Алматы,"Медеуский р-н, мкр Самал-2 41 — Мендикулова"
"2-комнатная квартира, 89.4 м², 24/30 этаж",https://krisha.kz/a/show/687954202,78 000 000 〒,Алматы,"Бостандыкский р-н, Аль-Фараби 7"
"2-комнатная квартира, 60 м², 5/10 этаж",https://krisha.kz/a/show/685357901,35 000 000 〒,Алматы,"Наурызбайский р-н, мкр Шугыла, Жунисова"
"2-комнатная квартира, 39 м², 3/3 этаж",https://krisha.kz/a/show/683326427,16 900 000 〒,Алматы,"Турксибский р-н, мкр Алтай-1, Алтай-1 ш/а."
"3-комнатная квартира, 107.2 м², 10/13 этаж",https://krisha.kz/a/show/678102006,61 000 000 〒,Алматы,"Ауэзовский р-н, мкр Аксай-5 3 б — Б.Момыш улы"
"1-комнатная квартира, 42 м², 7/7 этаж",https://krisha.kz/a/show/686274345,21 450 000 〒,Алматы,"Жетысуский р-н, Северное кольцо 86/3"
"2-комнатная квартира, 69.6 м², 3/9 этаж",https://krisha.kz/a/show/686119560,32 000 000 〒,Алматы,"Алатауский р-н, мкр Акбулак, Суатколь — проспект Рыскулова"
"2-комнатная квартира, 70 м², 12/13 этаж",https://krisha.kz/a/show/683336077,37 500 000 〒,Алматы,"Алатауский р-н, мкр Нуркент (Алгабас-1)"
"3-комнатная квартира, 80 м², 6/13 этаж",https://krisha.kz/a/show/677128866,67 000 000 〒,Алматы,"Ауэзовский р-н, Абая — Саина"
"5-комнатная квартира, 113.8 м², 1/5 этаж",https://krisha.kz/a/show/687561587,90 000 000 〒,Алматы,"Бостандыкский р-н, Габдуллина 9 — Байтурсынова"
"3-комнатная квартира, 150 м², 1/4 этаж",https://krisha.kz/a/show/685966381,142 500 000 〒,Алматы,"Медеуский р-н, Бахадур"
"3-комнатная квартира, 70 м², 7/8 этаж",https://krisha.kz/a/show/684980141,63 999 001 〒,Алматы,"Алмалинский р-н, Толе би 156 — ул Айтиева (Ауэзова)"
"2-комнатная квартира, 58 м², 5/10 этаж",https://krisha.kz/a/show/683814145,31 900 000 〒,Алматы,"Наурызбайский р-н, мкр Шугыла, Жунусова"
"2-комнатная квартира, 66.8 м², 9/9 этаж",https://krisha.kz/a/show/683714836,34 500 000 〒,Алматы,"Алатауский р-н, мкр Нуркент (Алгабас-1)"
"5-комнатная квартира, 324 м², 3/3 этаж",https://krisha.kz/a/show/687963572,88 000 000 〒,Алматы,"Наурызбайский р-н, мкр Карагайлы 44"
"1-комнатная квартира, 18 м², 2/2 этаж",https://krisha.kz/a/show/687651166,9 600 000 〒,Алматы,"Ауэзовский р-н, мкр Тастак-1, Кисловодская 37"
"2-комнатная квартира, 65 м², 5/9 этаж",https://krisha.kz/a/show/687085261,65 000 000 〒,Алматы,"Бостандыкский р-н, Аскарова Асанбая 21"
"2-комнатная квартира, 46.74 м², 5/9 этаж",https://krisha.kz/a/show/686388051,27 900 000 〒,Алматы,"Алатауский р-н, мкр Аккент, Мкр. Аккент 66"
"2-комнатная квартира, 46.1 м², 11/12 этаж",https://krisha.kz/a/show/686192842,67 000 000 〒,Алматы,"Бостандыкский р-н, Розыбакиева 336 — Ескараева"
"2-комнатная квартира, 66 м², 4/13 этаж",https://krisha.kz/a/show/683307587,38 000 000 〒,Алматы,"Алатауский р-н, мкр Нуркент (Алгабас-1) 46 — Момышулы"
"2-комнатная квартира, 57 м², 8/14 этаж",https://krisha.kz/a/show/684063309,53 000 000 〒,Алматы,"Медеуский р-н, мкр Самал-1 — Мендекулова"
"3-комнатная квартира, 90 м², 3/10 этаж",https://krisha.kz/a/show/683724843,49 000 000 〒,Алматы,"Турксибский р-н, Сейфуллина 51"
"1-комнатная квартира, 44.91 м²",https://krisha.kz/a/show/687785544,от 17 964 000 〒,Туздыбастау (Калинино),ПК Жемис 1а/1
"3-комнатная квартира, 107 м²",https://krisha.kz/a/show/687787972,от 42 800 000 〒,Туздыбастау (Калинино),Микрорайон Айжарык 1в
"2-комнатная квартира, 89.7 м²",https://krisha.kz/a/show/687285735,от 89 700 000 〒,Алматы,"Бостандыкский р-н, Аль-Фараби 116/1"
"3-комнатная квартира, 151.72 м²",https://krisha.kz/a/show/676337841,от 98 800 000 〒,Алматы,"Бостандыкский р-н, Жарокова 284/1"
"2-комнатная квартира, 72.6 м²",https://krisha.kz/a/show/686402624,от 45 738 000 〒,Алматы,"Наурызбайский р-н, мкр Курамыс, Сейдимбек 110в"
"1-комнатная квартира, 38 м²",https://krisha.kz/a/show/684816528,от 13 300 000 〒,Абай,квартал 272 70
"3-комнатная квартира, 155.36 м²",https://krisha.kz/a/show/682920354,от 114 811 040 〒,Алматы,"Наурызбайский р-н, Сейдимбек 110/2"
"1-комнатная квартира, 45.83 м²",https://krisha.kz/a/show/682384366,от 34 372 500 〒,Алматы,Торекулова
"2-комнатная квартира, 51.87 м²",https://krisha.kz/a/show/682385937,от 28 787 850 〒,Алматы,"Алатауский р-н, Бауыржана Момышулы — Монке би"
"1-комнатная квартира, 40.6 м²",https://krisha.kz/a/show/682004960,от 15 971 450 〒,Алматы,"Турксибский р-н, вдоль Капчагайской трассы"
"3-комнатная квартира, 89.6 м²",https://krisha.kz/a/show/681092454,от 41 612 032 〒,Алматы,"Наурызбайский р-н, Кенесары хана 54"
"5-комнатная квартира, 295 м²",https://krisha.kz/a/show/675850991,от 354 000 000 〒,Алматы,"Медеуский р-н, Аскар Тау 364"
"3-комнатная квартира, 74 м², 9/12 этаж",https://krisha.kz/a/show/684824671,68 000 000 〒,Алматы,"Бостандыкский р-н, мкр Коктем-1 32"
"2-комнатная квартира, 86.5 м²",https://krisha.kz/a/show/684354898,от 80 910 000 〒,Алматы,"Бостандыкский р-н, Жарокова 218"
"2-комнатная квартира, 120.4 м²",https://krisha.kz/a/show/671109136,от 96 850 121 〒,Алматы,"Бостандыкский р-н, мкр «Мирас» 31"
"4-комнатная квартира, 134.7 м²",https://krisha.kz/a/show/669596737,от 96 894 000 〒,Алматы,"Бостандыкский р-н, Гагарина 277/7"
"3-комнатная квартира, 116.7 м²",https://krisha.kz/a/show/661569464,от 106 197 000 〒,Алматы,"Бостандыкский р-н, Попова 1а"
"3-комнатная квартира, 100.3 м²",https://krisha.kz/a/show/670678505,от 72 717 500 〒,Алматы,"Бостандыкский р-н, Сатпаева 90/43а"
"3-комнатная квартира, 96.9 м²",https://krisha.kz/a/show/674137117,от 79 458 000 〒,Алматы,"Бостандыкский р-н, Аль-Фараби — Ходжанова"
"6-комнатная квартира, 340.6 м²",https://krisha.kz/a/show/671476573,от 170 300 000 〒,Алматы,"Бостандыкский р-н, мкр Мирас, мкр. Мирас, 128"
"4-комнатная квартира, 153.2 м²",https://krisha.kz/a/show/666634888,от 170 052 000 〒,Алматы,"Бостандыкский р-н, Розыбакиева — Ескараева"
"2-комнатная квартира, 58.05 м²",https://krisha.kz/a/show/687659513,от 52 245 000 〒,Алматы,"Алмалинский р-н, проспект Абая 165"
"4-комнатная квартира, 155.6 м²",https://krisha.kz/a/show/687698783,от 202 497 840 〒,Алматы,"Бостандыкский р-н, Сейфуллина 547"
"4-комнатная квартира, 182.93 м²",https://krisha.kz/a/show/687513587,от 411 592 500 〒,Алматы,"Бостандыкский р-н, микрорайон Мирас 115"
"3-комнатная квартира, 117.34 м²",https://krisha.kz/a/show/687699036,от 103 845 900 〒,Алматы,"Бостандыкский р-н, Розыбакиева 320"
"2-комнатная квартира, 118.74 м²",https://krisha.kz/a/show/672778536,от 84 305 400 〒,Алматы,"Медеуский р-н, мкр Аскартау, Ремизовка 1а"
"1-комнатная квартира, 45.38 м²",https://krisha.kz/a/show/664168665,от 40 388 200 〒,Алматы,"Бостандыкский р-н, Егизбаева 7г"
"4-комнатная квартира, 93.3 м², 3/5 этаж",https://krisha.kz/a/show/685294211,73 000 000 〒,Алматы,"Жетысуский р-н, мкр Айнабулак-3 151"
"1-комнатная квартира, 46.42 м²",https://krisha.kz/a/show/51613650,от 55 400 000 〒,Алматы,"Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова 138/2"
"1-комнатная квартира, 33.69 м²",https://krisha.kz/a/show/682556880,от 10 780 000 〒,Алматы,"Турксибский р-н, мкр. Жана Куат 1-1330"
"3-комнатная квартира, 71 м², 1/4 этаж",https://krisha.kz/a/show/684101578,43 500 000 〒,Алматы,"Алмалинский р-н, улица Байтурсынова — Гоголя"
"2-комнатная квартира, 43 м², 2/4 этаж",https://krisha.kz/a/show/687078623,36 500 000 〒,Алматы,"Медеуский р-н, Толе Би"
"1-комнатная квартира, 40.1 м², 7/15 этаж",https://krisha.kz/a/show/687210098,29 000 000 〒,Алматы,"Ауэзовский р-н, Утеген батыра 11 — Сайран"
"1-комнатная квартира, 42 м², 3/8 этаж",https://krisha.kz/a/show/682775558,20 500 000 〒,Алматы,"Алатауский р-н, мкр Ожет, Шоссе Северное кольцо 92/10"
"3-комнатная квартира, 63 м², 3/5 этаж",https://krisha.kz/a/show/681917985,35 000 000 〒,Алматы,"Медеуский р-н, Макатаева — Зеленый базар"
"3-комнатная квартира, 74.04 м², 5/8 этаж",https://krisha.kz/a/show/671758442,43 000 000 〒,Алматы,"Ауэзовский р-н, Райымбека 508 — Саина"
"3-комнатная квартира, 57 м², 5/5 этаж",https://krisha.kz/a/show/687928892,30 000 000 〒,Алматы,"Бостандыкский р-н, мкр Орбита-3"
"3-комнатная квартира, 67.4 м², 1/5 этаж",https://krisha.kz/a/show/687681992,47 000 000 〒,Алматы,"Жетысуский р-н, Райымбека"
"3-комнатная квартира, 72 м², 1/5 этаж",https://krisha.kz/a/show/682858956,55 000 000 〒,Алматы,"Ауэзовский р-н, мкр Мамыр-2"
"4-комнатная квартира, 93 м², 1/5 этаж",https://krisha.kz/a/show/682060622,43 000 000 〒,Алматы,"Алатауский р-н, Кисловодская улица — Ташкентская"
"2-комнатная квартира, 54 м², 1/4 этаж",https://krisha.kz/a/show/687833120,31 500 000 〒,Алматы,"Ауэзовский р-н, мкр №12 — Шаляпина"
"2-комнатная квартира, 63 м², 9/10 этаж",https://krisha.kz/a/show/686322932,62 000 000 〒,Алматы,"Медеуский р-н, Кенесары хана"
"2-комнатная квартира, 48.4 м², 6/9 этаж",https://krisha.kz/a/show/687407216,28 000 000 〒,Алматы,"Ауэзовский р-н, Толе би 285 — Отеген батыра"
"2-комнатная квартира, 62.5 м², 1/12 этаж",https://krisha.kz/a/show/686787851,44 688 000 〒,Алматы,"Алмалинский р-н, Мұратбаева 14/7 — Мақатаева"
"2-комнатная квартира, 60 м², 5/5 этаж",https://krisha.kz/a/show/685508694,32 000 000 〒,Алматы,"Жетысуский р-н, мкр Айнабулак-4"
"2-комнатная квартира, 53 м², 2/5 этаж",https://krisha.kz/a/show/687859313,35 000 000 〒,Алматы,"Алмалинский р-н, Гоголя — Гани Муратбаева"
"1-комнатная квартира, 39.1 м², 9/9 этаж",https://krisha.kz/a/show/686851849,23 000 000 〒,Алматы,"Наурызбайский р-н, мкр Шугыла, Райымбека — Жуалы"
"2-комнатная квартира, 67.1 м²",https://krisha.kz/a/show/686712859,46 900 000 〒,Алматы,"Бостандыкский р-н, Кенесары хана"
"3-комнатная квартира, 85 м², 3/9 этаж",https://krisha.kz/a/show/682556087,48 500 000 〒,Алматы,"Медеуский р-н, мкр Атырау, Кульджинский тракт"
"3-комнатная квартира, 71 м², 3/5 этаж",https://krisha.kz/a/show/679531520,47 500 000 〒,Алматы,"Ауэзовский р-н, мкр Мамыр-2 — Шаляпина Саина"
"5-комнатная квартира, 205 м², 9/9 этаж",https://krisha.kz/a/show/688055588,135 000 000 〒,Алматы,"Бостандыкский р-н, проспект Аль-Фараби 47/79"
"3-комнатная квартира, 56 м², 3/3 этаж",https://krisha.kz/a/show/686972140,45 000 000 〒,Алматы,"Наурызбайский р-н, мкр Каргалы, Акселеу Сейдимбек 110/1"
"2-комнатная квартира, 73.5 м², 4/20 этаж",https://krisha.kz/a/show/682800114,65 000 000 〒,Алматы,"Бостандыкский р-н, Гагарина 310 — Аль Фараби"
"2-комнатная квартира, 54 м², 12/13 этаж",https://krisha.kz/a/show/681888203,48 000 000 〒,Алматы,"Алмалинский р-н, мкр Тастак-2, Варламова 1/3 — ул. Варламова уг. Карасай батыра"
"2-комнатная квартира, 72.9 м², 5/13 этаж",https://krisha.kz/a/show/687553942,30 399 300 〒,Алматы,"Ауэзовский р-н, проспект Райымбека 348А"
"5-комнатная квартира, 182 м²",https://krisha.kz/a/show/685091200,75 000 000 〒,Алматы,"Бостандыкский р-н, мкр Ерменсай, Алатау 13"
"1-комнатная квартира, 46.6 м², 9/13 этаж",https://krisha.kz/a/show/687663083,21 948 600 〒,Алматы,"Ауэзовский р-н, мкр Тастак-1, Райымбека 348/1"
"2-комнатная квартира, 72.9 м², 2/13 этаж",https://krisha.kz/a/show/687492830,29 670 300 〒,Алматы,"Ауэзовский р-н, мкр Тастак-1, Емцова"
"1-комнатная квартира, 51 м², 8/10 этаж",https://krisha.kz/a/show/683274557,26 700 000 〒,Алматы,"Алатауский р-н, мкр Акбулак, Чуланова 151 — Чуланова 151"
"3-комнатная квартира, 76 м², 9/9 этаж",https://krisha.kz/a/show/674239826,33 500 000 〒,Алматы,"Турксибский р-н, мкр Жас Канат"
"3-комнатная квартира, 72 м², 3/9 этаж",https://krisha.kz/a/show/663365779,43 000 000 〒,Алматы,"Ауэзовский р-н, мкр Аксай-4"
"1-комнатная квартира, 56.19 м², 2/13 этаж",https://krisha.kz/a/show/687492624,25 903 590 〒,Алматы,"Ауэзовский р-н, мкр Тастак-1, Емцова"
"2-комнатная квартира, 66 м², 13/13 этаж",https://krisha.kz/a/show/687306372,36 000 000 〒,Алматы,"Турксибский р-н, Майлина"
"1-комнатная квартира, 39 м², 9/9 этаж",https://krisha.kz/a/show/679849343,23 500 000 〒,Алматы,"Наурызбайский р-н, мкр Шугыла — Нурлы"
"3-комнатная квартира, 78 м², 1/6 этаж",https://krisha.kz/a/show/676880516,40 000 000 〒,Алматы,"Наурызбайский р-н, мкр Шугыла, Жунисова"
"2-комнатная квартира, 72.9 м², 5/13 этаж",https://krisha.kz/a/show/685221665,30 399 300 〒,Алматы,Райымбека 348/1
"1-комнатная квартира, 46.6 м², 5/14 этаж",https://krisha.kz/a/show/684952270,21 948 600 〒,Алматы,"Алмалинский р-н, Райымбека 348/1"
"3-комнатная квартира, 74.2 м², 2/4 этаж",https://krisha.kz/a/show/678361617,49 500 000 〒,Алматы,"Алмалинский р-н, Абая — Масанчи"
"2-комнатная квартира, 56.18 м²",https://krisha.kz/a/show/678123596,от 21 067 500 〒,Алматы,Алтын Орда 34
"3-комнатная квартира, 94.3 м²",https://krisha.kz/a/show/687983597,от 42 435 000 〒,Алматы,"Алатауский р-н, Бауыржана Момышулы 11/1"
"3-комнатная квартира, 105.1 м²",https://krisha.kz/a/show/660375337,от 105 100 000 〒,Алматы,"Бостандыкский р-н, Абая 28а​"
